,oatsUserId,problemID,stepID,hintID,eventType,isCorrect,firstAttempt,time,skills
0,47221,real11,real11a,,answerStep,False,True,2021-01-16 04:44:49,['evaluating_algebraic_expressions']
1,47221,real11,real11a,,answerStep,False,False,2021-01-16 04:45:36,['evaluating_algebraic_expressions']
2,39779,RadRat17,RadRat17a,,answerStep,False,True,2021-01-16 04:57:04,['using_rational_roots']
3,47221,real20,real20a,,answerStep,False,True,2021-01-16 04:57:51,['evaluating_algebraic_expressions']
4,47221,poly27,poly27a,,answerStep,False,True,2021-01-16 06:55:51,['expanding_polynomials']
5,47221,poly22,poly22a,,unlockHint,,,2021-01-16 06:56:15,['expanding_polynomials']
6,47221,poly22,poly22a,,unlockHint,,,2021-01-16 06:56:20,['expanding_polynomials']
7,47221,poly22,poly22a,,unlockHint,,,2021-01-16 06:56:26,['expanding_polynomials']
8,47221,poly18,poly18a,,answerStep,False,True,2021-01-16 06:57:28,['multiplying_polynomials']
9,47221,poly18,poly18a,,unlockHint,,,2021-01-16 06:57:30,['multiplying_polynomials']
10,47221,poly7,poly7a,,answerStep,False,True,2021-01-16 06:59:24,['multiplying_polynomials']
11,47221,poly7,poly7a,,unlockHint,,,2021-01-16 07:00:00,['multiplying_polynomials']
12,47221,poly7,poly7a,,unlockHint,,,2021-01-16 07:00:01,['multiplying_polynomials']
13,47221,poly7,poly7a,poly7a-h2,hintScaffoldLog,False,,2021-01-16 07:00:05,['multiplying_polynomials']
14,47221,poly7,poly7a,poly7a-h2,hintScaffoldLog,True,,2021-01-16 07:00:09,['multiplying_polynomials']
15,47221,poly7,poly7a,,unlockHint,,,2021-01-16 07:00:12,['multiplying_polynomials']
16,47221,poly9,poly9a,,answerStep,False,True,2021-01-16 07:02:17,['multiplying_polynomials']
17,39779,real13,real13a,,answerStep,False,True,2021-01-16 07:36:49,['evaluating_algebraic_expressions']
18,39779,RadRat6,RadRat6a,,answerStep,False,True,2021-01-16 07:47:08,['evaluating_square_roots']
19,39779,RadRat6,RadRat6a,,answerStep,False,False,2021-01-16 07:47:33,['evaluating_square_roots']
20,47221,real15,real15a,,answerStep,True,True,2021-01-25 20:54:50,['performing_calculations_using_the_order_of_operations']
21,47221,real14,real14a,,answerStep,False,True,2021-01-25 21:19:06,['evaluating_algebraic_expressions']
22,47221,real14,real14a,,answerStep,False,False,2021-01-25 21:32:26,['evaluating_algebraic_expressions']
23,47221,real20,real20a,,answerStep,False,False,2021-01-25 21:32:41,['evaluating_algebraic_expressions']
24,47221,real20,real20a,,answerStep,False,False,2021-01-25 21:45:38,['evaluating_algebraic_expressions']
25,47221,real20,real20a,,answerStep,False,False,2021-01-25 21:45:40,['evaluating_algebraic_expressions']
26,47221,real14,real14a,,answerStep,False,False,2021-01-25 21:45:58,['evaluating_algebraic_expressions']
27,47221,real14,real14a,,answerStep,True,False,2021-01-25 21:46:03,['evaluating_algebraic_expressions']
28,47221,real16,real16a,,answerStep,False,True,2021-01-25 21:46:24,['performing_calculations_using_the_order_of_operations']
29,47221,real16,real16a,,answerStep,True,False,2021-01-25 21:46:25,['performing_calculations_using_the_order_of_operations']
30,1286,real3,real3a,,answerStep,False,True,2021-01-27 09:29:30,['classifying_a_real_number']
31,58684,real6,real6b,,answerStep,False,True,2021-01-28 01:09:14,['performing_calculations_using_the_order_of_operations']
32,58684,real6,real6b,,answerStep,True,False,2021-01-28 01:09:17,['performing_calculations_using_the_order_of_operations']
33,58684,real22,real22a,,answerStep,True,True,2021-01-28 01:10:06,['classifying_a_real_number']
34,58684,real22,real22b,,answerStep,False,True,2021-01-28 01:10:09,['classifying_a_real_number']
35,47221,RadRat18,RadRat18a,,answerStep,False,True,2021-01-28 06:59:48,['using_rational_roots']
36,29999,real20,real20a,,unlockHint,,,2021-01-29 03:28:35,['evaluating_algebraic_expressions']
37,29999,real20,real20a,,unlockHint,,,2021-01-29 03:28:45,['evaluating_algebraic_expressions']
38,29999,real20,real20a,,unlockHint,,,2021-01-29 03:28:53,['evaluating_algebraic_expressions']
39,29999,real20,real20a,,unlockHint,,,2021-01-29 03:35:15,['evaluating_algebraic_expressions']
