,problem_name,hashed_name,sheet_name,skills,lesson_name
53,RadRat1,ad291beRadRat1,1.3 Radicals and Rational Exponents,['evaluating_square_roots'],Openstax: College Algebra
54,RadRat10,ad291beRadRat10,1.3 Radicals and Rational Exponents,['evaluating_square_roots'],Openstax: College Algebra
55,RadRat11,ad291beRadRat11,1.3 Radicals and Rational Exponents,['using_rational_roots'],Openstax: College Algebra
56,RadRat12,ad291beRadRat12,1.3 Radicals and Rational Exponents,['using_rational_roots'],Openstax: College Algebra
57,RadRat13,ad291beRadRat13,1.3 Radicals and Rational Exponents,['using_rational_roots'],Openstax: College Algebra
58,RadRat14,ad291beRadRat14,1.3 Radicals and Rational Exponents,['using_rational_roots'],Openstax: College Algebra
59,RadRat15,ad291beRadRat15,1.3 Radicals and Rational Exponents,['using_rational_roots'],Openstax: College Algebra
60,RadRat16,ad291beRadRat16,1.3 Radicals and Rational Exponents,['using_rational_roots'],Openstax: College Algebra
61,RadRat17,ad291beRadRat17,1.3 Radicals and Rational Exponents,['using_rational_roots'],Openstax: College Algebra
62,RadRat18,ad291beRadRat18,1.3 Radicals and Rational Exponents,['using_rational_roots'],Openstax: College Algebra
63,RadRat19,ad291beRadRat19,1.3 Radicals and Rational Exponents,['using_rational_roots'],Openstax: College Algebra
64,RadRat2,ad291beRadRat2,1.3 Radicals and Rational Exponents,['evaluating_square_roots'],Openstax: College Algebra
65,RadRat20,ad291beRadRat20,1.3 Radicals and Rational Exponents,['using_rational_roots'],Openstax: College Algebra
66,RadRat21,ad291beRadRat21,1.3 Radicals and Rational Exponents,['using_rational_roots'],Openstax: College Algebra
67,RadRat3,ad291beRadRat3,1.3 Radicals and Rational Exponents,['evaluating_square_roots'],Openstax: College Algebra
68,RadRat4,ad291beRadRat4,1.3 Radicals and Rational Exponents,['evaluating_square_roots'],Openstax: College Algebra
69,RadRat5,ad291beRadRat5,1.3 Radicals and Rational Exponents,['evaluating_square_roots'],Openstax: College Algebra
70,RadRat6,ad291beRadRat6,1.3 Radicals and Rational Exponents,['evaluating_square_roots'],Openstax: College Algebra
71,RadRat7,ad291beRadRat7,1.3 Radicals and Rational Exponents,['evaluating_square_roots'],Openstax: College Algebra
72,RadRat8,ad291beRadRat8,1.3 Radicals and Rational Exponents,['evaluating_square_roots'],Openstax: College Algebra
73,RadRat9,ad291beRadRat9,1.3 Radicals and Rational Exponents,['evaluating_square_roots'],Openstax: College Algebra
74,poly1,a0cc26bpoly1,1.4 Polynomials,['adding_and_subtracting_polynomials'],Openstax: College Algebra
75,poly10,a0cc26bpoly10,1.4 Polynomials,['multiplying_polynomials'],Openstax: College Algebra
76,poly11,a0cc26bpoly11,1.4 Polynomials,['multiplying_polynomials'],Openstax: College Algebra
77,poly12,a0cc26bpoly12,1.4 Polynomials,['multiplying_polynomials'],Openstax: College Algebra
78,poly13,a0cc26bpoly13,1.4 Polynomials,['multiplying_polynomials'],Openstax: College Algebra
79,poly14,a0cc26bpoly14,1.4 Polynomials,['adding_and_subtracting_polynomials'],Openstax: College Algebra
80,poly15,a0cc26bpoly15,1.4 Polynomials,['adding_and_subtracting_polynomials'],Openstax: College Algebra
81,poly16,a0cc26bpoly16,1.4 Polynomials,['adding_and_subtracting_polynomials'],Openstax: College Algebra
82,poly17,a0cc26bpoly17,1.4 Polynomials,['multiplying_polynomials'],Openstax: College Algebra
83,poly18,a0cc26bpoly18,1.4 Polynomials,['multiplying_polynomials'],Openstax: College Algebra
84,poly19,a0cc26bpoly19,1.4 Polynomials,['multiplying_polynomials'],Openstax: College Algebra
85,poly2,a0cc26bpoly2,1.4 Polynomials,['adding_and_subtracting_polynomials'],Openstax: College Algebra
86,poly20,a0cc26bpoly20,1.4 Polynomials,['multiplying_polynomials'],Openstax: College Algebra
87,poly21,a0cc26bpoly21,1.4 Polynomials,['expanding_polynomials'],Openstax: College Algebra
88,poly22,a0cc26bpoly22,1.4 Polynomials,['expanding_polynomials'],Openstax: College Algebra
89,poly23,a0cc26bpoly23,1.4 Polynomials,['multiplying_polynomials'],Openstax: College Algebra
90,poly24,a0cc26bpoly24,1.4 Polynomials,['expanding_polynomials'],Openstax: College Algebra
91,poly25,a0cc26bpoly25,1.4 Polynomials,['expanding_polynomials'],Openstax: College Algebra
92,poly26,a0cc26bpoly26,1.4 Polynomials,['expanding_polynomials'],Openstax: College Algebra
93,poly27,a0cc26bpoly27,1.4 Polynomials,['expanding_polynomials'],Openstax: College Algebra
94,poly28,a0cc26bpoly28,1.4 Polynomials,['expanding_polynomials'],Openstax: College Algebra
95,poly29,a0cc26bpoly29,1.4 Polynomials,['multiplying_polynomials'],Openstax: College Algebra
96,poly3,a0cc26bpoly3,1.4 Polynomials,['adding_and_subtracting_polynomials'],Openstax: College Algebra
97,poly30,a0cc26bpoly30,1.4 Polynomials,['adding_and_subtracting_polynomials'],Openstax: College Algebra
98,poly31,a0cc26bpoly31,1.4 Polynomials,['multiplying_polynomials'],Openstax: College Algebra
99,poly4,a0cc26bpoly4,1.4 Polynomials,['adding_and_subtracting_polynomials'],Openstax: College Algebra
100,poly5,a0cc26bpoly5,1.4 Polynomials,['multiplying_polynomials'],Openstax: College Algebra
101,poly6,a0cc26bpoly6,1.4 Polynomials,['multiplying_polynomials'],Openstax: College Algebra
102,poly7,a0cc26bpoly7,1.4 Polynomials,['multiplying_polynomials'],Openstax: College Algebra
103,poly8,a0cc26bpoly8,1.4 Polynomials,['multiplying_polynomials'],Openstax: College Algebra
104,poly9,a0cc26bpoly9,1.4 Polynomials,['multiplying_polynomials'],Openstax: College Algebra
105,factor1,aabf119factor1,1.5 Factoring Polynomials,['factoring_the_greatest_common_factor_of_a_polynomial'],Openstax: College Algebra
106,factor10,aabf119factor10,1.5 Factoring Polynomials,['factoring_a_sum_of_cubes'],Openstax: College Algebra
107,factor11,aabf119factor11,1.5 Factoring Polynomials,['factoring_a_difference_of_cubes'],Openstax: College Algebra
108,factor12,aabf119factor12,1.5 Factoring Polynomials,['factoring_an_expression_with_fractional_or_negative_exponents'],Openstax: College Algebra
109,factor13,aabf119factor13,1.5 Factoring Polynomials,['factoring_polynomials'],Openstax: College Algebra
110,factor14,aabf119factor14,1.5 Factoring Polynomials,['factoring_polynomials'],Openstax: College Algebra
111,factor15,aabf119factor15,1.5 Factoring Polynomials,['factoring_polynomials'],Openstax: College Algebra
112,factor16,aabf119factor16,1.5 Factoring Polynomials,['factoring_polynomials'],Openstax: College Algebra
113,factor17,aabf119factor17,1.5 Factoring Polynomials,['factoring_polynomials'],Openstax: College Algebra
114,factor18,aabf119factor18,1.5 Factoring Polynomials,['factoring_polynomials'],Openstax: College Algebra
115,factor19,aabf119factor19,1.5 Factoring Polynomials,['factoring_polynomials'],Openstax: College Algebra
116,factor2,aabf119factor2,1.5 Factoring Polynomials,['factoring_the_greatest_common_factor_of_a_polynomial'],Openstax: College Algebra
117,factor20,aabf119factor20,1.5 Factoring Polynomials,['factoring_polynomials'],Openstax: College Algebra
118,factor21,aabf119factor21,1.5 Factoring Polynomials,['factoring_a_difference_of_squares'],Openstax: College Algebra
119,factor22,aabf119factor22,1.5 Factoring Polynomials,['factoring_a_difference_of_squares'],Openstax: College Algebra
120,factor23,aabf119factor23,1.5 Factoring Polynomials,['factoring_a_difference_of_squares'],Openstax: College Algebra
121,factor24,aabf119factor24,1.5 Factoring Polynomials,['factoring_a_difference_of_squares'],Openstax: College Algebra
122,factor25,aabf119factor25,1.5 Factoring Polynomials,['factoring_a_difference_of_squares'],Openstax: College Algebra
123,factor26,aabf119factor26,1.5 Factoring Polynomials,['factoring_a_perfect_square_trinomial'],Openstax: College Algebra
124,factor27,aabf119factor27,1.5 Factoring Polynomials,['factoring_a_perfect_square_trinomial'],Openstax: College Algebra
125,factor28,aabf119factor28,1.5 Factoring Polynomials,['factoring_a_perfect_square_trinomial'],Openstax: College Algebra
126,factor3,aabf119factor3,1.5 Factoring Polynomials,['factoring_a_trinomial_with_leading_coefficient_1'],Openstax: College Algebra
127,factor4,aabf119factor4,1.5 Factoring Polynomials,['factoring_a_trinomial_with_leading_coefficient_1'],Openstax: College Algebra
128,factor5,aabf119factor5,1.5 Factoring Polynomials,['factoring_by_grouping'],Openstax: College Algebra
129,factor6,aabf119factor6,1.5 Factoring Polynomials,['factoring_by_grouping'],Openstax: College Algebra
130,factor7,aabf119factor7,1.5 Factoring Polynomials,['factoring_a_perfect_square_trinomial'],Openstax: College Algebra
131,factor8,aabf119factor8,1.5 Factoring Polynomials,['factoring_a_perfect_square_trinomial'],Openstax: College Algebra
132,factor9,aabf119factor9,1.5 Factoring Polynomials,['factoring_a_difference_of_squares'],Openstax: College Algebra
133,rational1,a61c721rational1,1.6 Rational Expressions,['rational_expressions'],Openstax: College Algebra
134,rational10,a61c721rational10,1.6 Rational Expressions,['simplifying_complex_rational_expressions'],Openstax: College Algebra
135,rational11,a61c721rational11,1.6 Rational Expressions,['simplifying_complex_rational_expressions'],Openstax: College Algebra
136,rational12,a61c721rational12,1.6 Rational Expressions,['simplifying_complex_rational_expressions'],Openstax: College Algebra
137,rational13,a61c721rational13,1.6 Rational Expressions,['simplifying_complex_rational_expressions'],Openstax: College Algebra
138,rational14,a61c721rational14,1.6 Rational Expressions,['simplifying_complex_rational_expressions'],Openstax: College Algebra
139,rational15,a61c721rational15,1.6 Rational Expressions,['simplifying_complex_rational_expressions'],Openstax: College Algebra
140,rational16,a61c721rational16,1.6 Rational Expressions,['simplifying_complex_rational_expressions'],Openstax: College Algebra
141,rational17,a61c721rational17,1.6 Rational Expressions,['simplifying_complex_rational_expressions'],Openstax: College Algebra
142,rational18,a61c721rational18,1.6 Rational Expressions,['rational_expressions'],Openstax: College Algebra
143,rational19,a61c721rational19,1.6 Rational Expressions,['rational_expressions'],Openstax: College Algebra
144,rational2,a61c721rational2,1.6 Rational Expressions,['rational_expressions'],Openstax: College Algebra
145,rational20,a61c721rational20,1.6 Rational Expressions,['rational_expressions'],Openstax: College Algebra
146,rational21,a61c721rational21,1.6 Rational Expressions,['rational_expressions'],Openstax: College Algebra
147,rational22,a61c721rational22,1.6 Rational Expressions,['rational_expressions'],Openstax: College Algebra
148,rational3,a61c721rational3,1.6 Rational Expressions,['rational_expressions'],Openstax: College Algebra
149,rational4,a61c721rational4,1.6 Rational Expressions,['rational_expressions'],Openstax: College Algebra
150,rational5,a61c721rational5,1.6 Rational Expressions,['rational_expressions'],Openstax: College Algebra
151,rational6,a61c721rational6,1.6 Rational Expressions,['rational_expressions'],Openstax: College Algebra
152,rational7,a61c721rational7,1.6 Rational Expressions,['rational_expressions'],Openstax: College Algebra
153,rational8,a61c721rational8,1.6 Rational Expressions,['rational_expressions'],Openstax: College Algebra
154,rational9,a61c721rational9,1.6 Rational Expressions,['simplifying_complex_rational_expressions'],Openstax: College Algebra
155,RecCord1,a75d03cRecCord1,2.1 The Rectangular Coordinate Systems and Graph,['finding_x_intercepts_and_y_intercepts'],Openstax: College Algebra
156,RecCord10,a75d03cRecCord10,2.1 The Rectangular Coordinate Systems and Graph,['using_the_distance_formula'],Openstax: College Algebra
157,RecCord11,a75d03cRecCord11,2.1 The Rectangular Coordinate Systems and Graph,['using_the_distance_formula'],Openstax: College Algebra
158,RecCord12,a75d03cRecCord12,2.1 The Rectangular Coordinate Systems and Graph,['using_the_distance_formula'],Openstax: College Algebra
159,RecCord13,a75d03cRecCord13,2.1 The Rectangular Coordinate Systems and Graph,['using_the_distance_formula'],Openstax: College Algebra
160,RecCord14,a75d03cRecCord14,2.1 The Rectangular Coordinate Systems and Graph,['using_the_distance_formula'],Openstax: College Algebra
161,RecCord15,a75d03cRecCord15,2.1 The Rectangular Coordinate Systems and Graph,['using_the_midpoint_formula'],Openstax: College Algebra
162,RecCord16,a75d03cRecCord16,2.1 The Rectangular Coordinate Systems and Graph,['using_the_midpoint_formula'],Openstax: College Algebra
163,RecCord17,a75d03cRecCord17,2.1 The Rectangular Coordinate Systems and Graph,['using_the_midpoint_formula'],Openstax: College Algebra
164,RecCord18,a75d03cRecCord18,2.1 The Rectangular Coordinate Systems and Graph,['using_the_midpoint_formula'],Openstax: College Algebra
165,RecCord19,a75d03cRecCord19,2.1 The Rectangular Coordinate Systems and Graph,['using_the_midpoint_formula'],Openstax: College Algebra
166,RecCord2,a75d03cRecCord2,2.1 The Rectangular Coordinate Systems and Graph,['finding_x_intercepts_and_y_intercepts'],Openstax: College Algebra
167,RecCord20,a75d03cRecCord20,2.1 The Rectangular Coordinate Systems and Graph,['the_rectangular_coordinate_systems_and_graphs'],Openstax: College Algebra
168,RecCord21,a75d03cRecCord21,2.1 The Rectangular Coordinate Systems and Graph,['the_rectangular_coordinate_systems_and_graphs'],Openstax: College Algebra
169,RecCord22,a75d03cRecCord22,2.1 The Rectangular Coordinate Systems and Graph,['the_rectangular_coordinate_systems_and_graphs'],Openstax: College Algebra
170,RecCord23,a75d03cRecCord23,2.1 The Rectangular Coordinate Systems and Graph,['the_rectangular_coordinate_systems_and_graphs'],Openstax: College Algebra
171,RecCord24,a75d03cRecCord24,2.1 The Rectangular Coordinate Systems and Graph,['the_rectangular_coordinate_systems_and_graphs'],Openstax: College Algebra
172,RecCord25,a75d03cRecCord25,2.1 The Rectangular Coordinate Systems and Graph,['the_rectangular_coordinate_systems_and_graphs'],Openstax: College Algebra
173,RecCord26,a75d03cRecCord26,2.1 The Rectangular Coordinate Systems and Graph,['the_rectangular_coordinate_systems_and_graphs'],Openstax: College Algebra
174,RecCord27,a75d03cRecCord27,2.1 The Rectangular Coordinate Systems and Graph,['the_rectangular_coordinate_systems_and_graphs'],Openstax: College Algebra
175,RecCord3,a75d03cRecCord3,2.1 The Rectangular Coordinate Systems and Graph,['finding_x_intercepts_and_y_intercepts'],Openstax: College Algebra
176,RecCord4,a75d03cRecCord4,2.1 The Rectangular Coordinate Systems and Graph,['finding_x_intercepts_and_y_intercepts'],Openstax: College Algebra
177,RecCord5,a75d03cRecCord5,2.1 The Rectangular Coordinate Systems and Graph,['finding_x_intercepts_and_y_intercepts'],Openstax: College Algebra
178,RecCord6,a75d03cRecCord6,2.1 The Rectangular Coordinate Systems and Graph,['finding_x_intercepts_and_y_intercepts'],Openstax: College Algebra
179,RecCord7,a75d03cRecCord7,2.1 The Rectangular Coordinate Systems and Graph,['finding_x_intercepts_and_y_intercepts'],Openstax: College Algebra
180,RecCord8,a75d03cRecCord8,2.1 The Rectangular Coordinate Systems and Graph,['finding_x_intercepts_and_y_intercepts'],Openstax: College Algebra
181,RecCord9,a75d03cRecCord9,2.1 The Rectangular Coordinate Systems and Graph,['using_the_distance_formula'],Openstax: College Algebra
182,LinEqua1,a2d8720LinEqua1,2.2 Linear Equations in One Variable,['solving_linear_equations_in_one_variable'],Openstax: College Algebra
183,LinEqua10,a2d8720LinEqua10,2.2 Linear Equations in One Variable,['solving_a_rational_equation'],Openstax: College Algebra
184,LinEqua11,a2d8720LinEqua11,2.2 Linear Equations in One Variable,['solving_a_rational_equation'],Openstax: College Algebra
185,LinEqua12,a2d8720LinEqua12,2.2 Linear Equations in One Variable,['solving_a_rational_equation'],Openstax: College Algebra
186,LinEqua13,a2d8720LinEqua13,2.2 Linear Equations in One Variable,['solving_a_rational_equation'],Openstax: College Algebra
187,LinEqua14,a2d8720LinEqua14,2.2 Linear Equations in One Variable,['solving_a_rational_equation'],Openstax: College Algebra
188,LinEqua15,a2d8720LinEqua15,2.2 Linear Equations in One Variable,['solving_a_rational_equation'],Openstax: College Algebra
189,LinEqua16,a2d8720LinEqua16,2.2 Linear Equations in One Variable,['finding_a_linear_equation'],Openstax: College Algebra
190,LinEqua17,a2d8720LinEqua17,2.2 Linear Equations in One Variable,['finding_a_linear_equation'],Openstax: College Algebra
191,LinEqua18,a2d8720LinEqua18,2.2 Linear Equations in One Variable,['finding_a_linear_equation'],Openstax: College Algebra
192,LinEqua19,a2d8720LinEqua19,2.2 Linear Equations in One Variable,['finding_a_linear_equation'],Openstax: College Algebra
193,LinEqua2,a2d8720LinEqua2,2.2 Linear Equations in One Variable,['solving_linear_equations_in_one_variable'],Openstax: College Algebra
194,LinEqua20,a2d8720LinEqua20,2.2 Linear Equations in One Variable,['finding_a_linear_equation'],Openstax: College Algebra
195,LinEqua21,a2d8720LinEqua21,2.2 Linear Equations in One Variable,['finding_a_linear_equation'],Openstax: College Algebra
196,LinEqua22,a2d8720LinEqua22,2.2 Linear Equations in One Variable,['finding_a_linear_equation'],Openstax: College Algebra
197,LinEqua23,a2d8720LinEqua23,2.2 Linear Equations in One Variable,['finding_a_linear_equation'],Openstax: College Algebra
198,LinEqua24,a2d8720LinEqua24,2.2 Linear Equations in One Variable,['finding_a_linear_equation'],Openstax: College Algebra
199,LinEqua25,a2d8720LinEqua25,2.2 Linear Equations in One Variable,['finding_a_linear_equation'],Openstax: College Algebra
200,LinEqua26,a2d8720LinEqua26,2.2 Linear Equations in One Variable,['determining_whether_graphs_of_lines_are_parallel_or_perpendicular'],Openstax: College Algebra
201,LinEqua27,a2d8720LinEqua27,2.2 Linear Equations in One Variable,['determining_whether_graphs_of_lines_are_parallel_or_perpendicular'],Openstax: College Algebra
202,LinEqua28,a2d8720LinEqua28,2.2 Linear Equations in One Variable,['determining_whether_graphs_of_lines_are_parallel_or_perpendicular'],Openstax: College Algebra
203,LinEqua29,a2d8720LinEqua29,2.2 Linear Equations in One Variable,['writing_the_equation_of_lines_parallel_or_perpendicular_to_a_given_line'],Openstax: College Algebra
204,LinEqua3,a2d8720LinEqua3,2.2 Linear Equations in One Variable,['solving_linear_equations_in_one_variable'],Openstax: College Algebra
205,LinEqua30,a2d8720LinEqua30,2.2 Linear Equations in One Variable,['writing_the_equation_of_lines_parallel_or_perpendicular_to_a_given_line'],Openstax: College Algebra
206,LinEqua31,a2d8720LinEqua31,2.2 Linear Equations in One Variable,['writing_the_equation_of_lines_parallel_or_perpendicular_to_a_given_line'],Openstax: College Algebra
207,LinEqua4,a2d8720LinEqua4,2.2 Linear Equations in One Variable,['solving_linear_equations_in_one_variable'],Openstax: College Algebra
208,LinEqua5,a2d8720LinEqua5,2.2 Linear Equations in One Variable,['solving_linear_equations_in_one_variable'],Openstax: College Algebra
209,LinEqua6,a2d8720LinEqua6,2.2 Linear Equations in One Variable,['solving_a_rational_equation'],Openstax: College Algebra
210,LinEqua7,a2d8720LinEqua7,2.2 Linear Equations in One Variable,['solving_a_rational_equation'],Openstax: College Algebra
211,LinEqua8,a2d8720LinEqua8,2.2 Linear Equations in One Variable,['solving_a_rational_equation'],Openstax: College Algebra
212,LinEqua9,a2d8720LinEqua9,2.2 Linear Equations in One Variable,['solving_a_rational_equation'],Openstax: College Algebra
213,MoApp1,af227bbMoApp1,2.3 Models and Applications,['setting_up_a_linear_equation_to_solve_a_real_world_application'],Openstax: College Algebra
214,MoApp10,af227bbMoApp10,2.3 Models and Applications,['using_a_formula_to_solve_a_real_world_application'],Openstax: College Algebra
215,MoApp11,af227bbMoApp11,2.3 Models and Applications,['using_a_formula_to_solve_a_real_world_application'],Openstax: College Algebra
216,MoApp12,af227bbMoApp12,2.3 Models and Applications,['using_a_formula_to_solve_a_real_world_application'],Openstax: College Algebra
217,MoApp13,af227bbMoApp13,2.3 Models and Applications,['using_a_formula_to_solve_a_real_world_application'],Openstax: College Algebra
218,MoApp2,af227bbMoApp2,2.3 Models and Applications,['setting_up_a_linear_equation_to_solve_a_real_world_application'],Openstax: College Algebra
219,MoApp3,af227bbMoApp3,2.3 Models and Applications,['setting_up_a_linear_equation_to_solve_a_real_world_application'],Openstax: College Algebra
220,MoApp4,af227bbMoApp4,2.3 Models and Applications,['setting_up_a_linear_equation_to_solve_a_real_world_application'],Openstax: College Algebra
221,MoApp5,af227bbMoApp5,2.3 Models and Applications,['setting_up_a_linear_equation_to_solve_a_real_world_application'],Openstax: College Algebra
222,MoApp6,af227bbMoApp6,2.3 Models and Applications,['setting_up_a_linear_equation_to_solve_a_real_world_application'],Openstax: College Algebra
223,MoApp7,af227bbMoApp7,2.3 Models and Applications,['using_a_formula_to_solve_a_real_world_application'],Openstax: College Algebra
224,MoApp8,af227bbMoApp8,2.3 Models and Applications,['using_a_formula_to_solve_a_real_world_application'],Openstax: College Algebra
225,MoApp9,af227bbMoApp9,2.3 Models and Applications,['using_a_formula_to_solve_a_real_world_application'],Openstax: College Algebra
226,complex1,a9cf449complex1,2.4 Complex Numbers,['expressing_square_roots_of_negative_numbers_as_multiples_of_i'],Openstax: College Algebra
227,complex10,a9cf449complex10,2.4 Complex Numbers,['adding_and_subtracting_complex_numbers'],Openstax: College Algebra
228,complex11,a9cf449complex11,2.4 Complex Numbers,['adding_and_subtracting_complex_numbers'],Openstax: College Algebra
229,complex12,a9cf449complex12,2.4 Complex Numbers,['multiplying_complex_numbers'],Openstax: College Algebra
230,complex13,a9cf449complex13,2.4 Complex Numbers,['multiplying_complex_numbers'],Openstax: College Algebra
231,complex14,a9cf449complex14,2.4 Complex Numbers,['multiplying_complex_numbers'],Openstax: College Algebra
232,complex15,a9cf449complex15,2.4 Complex Numbers,['multiplying_complex_numbers'],Openstax: College Algebra
233,complex16,a9cf449complex16,2.4 Complex Numbers,['multiplying_complex_numbers'],Openstax: College Algebra
234,complex17,a9cf449complex17,2.4 Complex Numbers,['dividing_complex_numbers'],Openstax: College Algebra
235,complex18,a9cf449complex18,2.4 Complex Numbers,['dividing_complex_numbers'],Openstax: College Algebra
